cve,epss,ranking_epss
CVE-2021-41246,0.00381,0.5881
CVE-2023-37903,0.35568,0.96959
CVE-2024-49365,0.00026,0.05845
CVE-2020-28496,0.01422,0.79959
CVE-2020-7598,0.00253,0.48581
CVE-2020-11023,0.21987,0.95591
CVE-2021-46320,0.00517,0.65816
CVE-2025-1647,0.00075,0.23299
CVE-2020-26245,0.0113,0.77595
CVE-2019-5484,0.00503,0.65173
CVE-2024-21908,0.00365,0.5778
CVE-2022-25948,0.00126,0.32809
CVE-2024-27094,0.00177,0.39698
CVE-2023-2142,0.0012,0.31798
CVE-2024-55565,0.00035,0.09112
CVE-2020-7637,0.00318,0.54327
CVE-2024-21490,0.00445,0.62639
CVE-2020-7753,0.06853,0.91004
CVE-2025-55303,0.00067,0.21359
CVE-2025-27109,0.0009,0.26545
CVE-2022-23494,0.02791,0.85568
CVE-2022-22912,0.02156,0.83675
CVE-2024-24828,0.00107,0.29615
CVE-2020-7596,0.0129,0.7899
CVE-2023-25345,0.00736,0.72006
CVE-2025-1302,0.36441,0.97013
CVE-2022-24794,0.00245,0.47777
CVE-2024-29415,0.02922,0.85898
CVE-2018-20436,0.00482,0.64323
CVE-2022-25912,0.41268,0.97318
CVE-2022-25878,0.00393,0.59545
CVE-2022-25927,0.01372,0.79591
CVE-2021-32640,0.00466,0.63559
CVE-2021-23369,0.04041,0.88053
CVE-2019-16775,0.0035,0.56827
CVE-2025-57820,0.00065,0.20699
CVE-2023-26111,0.01823,0.82241
CVE-2025-23207,0.00025,0.05455
CVE-2020-15123,0.00147,0.35825
CVE-2025-46812,0.00091,0.26839
CVE-2021-44906,0.01195,0.78177
CVE-2025-58460,0.00043,0.12848
CVE-2022-0776,0.08012,0.91775
CVE-2018-20801,0.01321,0.79207
CVE-2023-45857,0.00106,0.29346
CVE-2020-28500,0.00202,0.42671
CVE-2022-0868,0.00326,0.54995
CVE-2024-45047,0.00113,0.30743
CVE-2020-26274,0.01389,0.79701
CVE-2019-17221,0.08713,0.9216
CVE-2021-41120,0.00366,0.57884
CVE-2024-26144,0.02313,0.84218
CVE-2018-3809,0.00222,0.44846
CVE-2024-54152,0.26616,0.96177
CVE-2024-8207,0.00025,0.05394
CVE-2022-25898,0.00342,0.56228
CVE-2023-26487,0.00161,0.3766
CVE-2025-31125,0.05534,0.89877
CVE-2017-18589,0.00334,0.55737
CVE-2025-55207,0.00059,0.18585
CVE-2022-0686,0.00108,0.29719
CVE-2025-4123,0.05107,0.89416
CVE-2020-7689,0.00148,0.36063
CVE-2024-24758,0.00123,0.32292
CVE-2023-3696,0.00265,0.49871
CVE-2022-1726,0.0029,0.52069
CVE-2023-26116,0.00251,0.48403
CVE-2024-57072,0.00076,0.23497
CVE-2019-10743,0.01286,0.78953
CVE-2022-37265,0.00474,0.63904
CVE-2020-15138,0.00864,0.7434
CVE-2025-47279,0.00056,0.1765
CVE-2024-27307,0.01691,0.8158
CVE-2022-37620,0.00094,0.27407
CVE-2024-39698,0.00318,0.54313
CVE-2024-53900,0.5223,0.97846
CVE-2019-8331,0.01462,0.80224
CVE-2020-7755,0.00554,0.67161
CVE-2018-1000136,0.01856,0.82395
CVE-2023-39956,0.00027,0.06059
CVE-2020-36650,0.00203,0.42721
CVE-2022-31160,0.09618,0.92606
CVE-2024-53382,0.00039,0.11147
CVE-2021-23398,0.00419,0.61167
CVE-2022-21803,0.00454,0.63005
CVE-2024-11023,0.00035,0.09009
CVE-2025-32792,0.00138,0.34519
CVE-2022-1365,0.00118,0.31432
CVE-2025-5062,0.00336,0.55845
CVE-2021-23368,0.003,0.52907
CVE-2024-43805,0.00259,0.49173
CVE-2024-52588,0.00072,0.22584
CVE-2020-10519,0.01898,0.82586
CVE-2020-7752,0.03143,0.86379
CVE-2022-23540,0.00016,0.02552
CVE-2023-34104,0.00273,0.50512
CVE-2024-34392,0.02296,0.84163
CVE-2022-25940,0.00097,0.27864
CVE-2022-46161,0.05563,0.89903
CVE-2022-25844,0.00472,0.63815
CVE-2017-1000048,0.00532,0.66416
CVE-2022-29257,0.00413,0.60777
CVE-2024-33883,0.01298,0.7904
CVE-2024-10491,0.00096,0.27625
CVE-2025-23206,0.00031,0.07483
CVE-2022-23541,0.00049,0.14915
CVE-2022-0235,0.00512,0.65573
CVE-2021-23364,0.00385,0.59046
CVE-2017-3160,0.00775,0.72794
CVE-2021-3765,0.00044,0.13007
CVE-2022-37264,0.00474,0.63904
CVE-2020-26226,0.0035,0.56845
CVE-2024-28243,0.00116,0.31197
CVE-2023-22467,0.00502,0.65137
CVE-2017-1000189,0.00913,0.75104
CVE-2024-29409,0.00088,0.26303
CVE-2015-8859,0.00184,0.4055
CVE-2020-15095,0.00044,0.13132
CVE-2025-10061,0.00049,0.15199
CVE-2025-23042,0.00156,0.37035
CVE-2023-50475,0.00134,0.34
CVE-2019-2391,0.00379,0.58721
CVE-2018-20677,0.11183,0.93253
CVE-2020-7746,0.00155,0.36998
CVE-2021-23397,0.0037,0.58133
CVE-2023-32732,0.00023,0.04575
CVE-2025-59139,0.00054,0.16872
CVE-2024-56334,0.00285,0.51572
CVE-2024-39338,0.01489,0.80418
CVE-2019-10803,0.00578,0.67909
CVE-2025-0725,0.00423,0.61388
CVE-2025-47935,0.00037,0.10319
CVE-2021-39178,0.007,0.71187
CVE-2023-33955,0.00266,0.49965
CVE-2022-39353,0.01134,0.77636
CVE-2016-10735,0.04085,0.88119
CVE-2023-44487,0.94422,0.99979
CVE-2025-55173,0.00105,0.29265
CVE-2025-2336,0.00046,0.13802
CVE-2025-58362,0.0004,0.11747
CVE-2023-49293,0.0034,0.56109
CVE-2021-23567,0.00672,0.70535
CVE-2021-46440,0.03089,0.86282
CVE-2024-32652,0.00522,0.66022
CVE-2020-8910,0.00072,0.22662
CVE-2025-27415,0.00061,0.19257
CVE-2021-23341,0.01762,0.81957
CVE-2024-21509,0.00585,0.68127
CVE-2019-0542,0.01946,0.82815
CVE-2024-21910,0.01211,0.78312
CVE-2023-42810,0.02061,0.83276
CVE-2020-36604,0.00656,0.7016
CVE-2022-0639,0.00025,0.05234
CVE-2020-26237,0.00422,0.61352
CVE-2023-30548,0.02148,0.83634
CVE-2024-45296,0.00167,0.38477
CVE-2022-25858,0.0284,0.85707
CVE-2022-25869,0.05408,0.89741
CVE-2022-38900,0.00412,0.60758
CVE-2023-1001,0.00184,0.40526
CVE-2024-48910,0.00409,0.60583
CVE-2020-13822,0.00411,0.60686
CVE-2021-32761,0.00843,0.73999
CVE-2024-40631,0.00319,0.54486
CVE-2025-0716,6e-05,0.00297
CVE-2021-32803,0.00201,0.42443
CVE-2020-7729,0.02395,0.84491
CVE-2022-37260,0.00348,0.5672
CVE-2024-6531,,
CVE-2025-7339,6e-05,0.00253
CVE-2023-26144,0.00966,0.758
CVE-2019-13173,0.00652,0.70042
CVE-2025-29907,0.00337,0.55937
CVE-2024-1899,0.0005,0.15221
CVE-2022-26183,0.00642,0.69748
CVE-2024-21534,0.40615,0.97282
CVE-2025-27793,0.0006,0.19228
CVE-2021-39171,0.00361,0.57544
CVE-2021-23436,0.00149,0.36131
CVE-2024-43297,0.00179,0.39889
CVE-2023-30541,0.00105,0.29214
CVE-2020-4077,0.00436,0.62209
CVE-2025-22150,0.00053,0.16732
CVE-2022-24772,0.00095,0.27456
CVE-2021-23395,0.00224,0.45128
CVE-2022-24373,0.00073,0.22992
CVE-2023-0842,0.00251,0.48463
CVE-2021-32696,0.00292,0.52241
CVE-2022-4742,0.00082,0.25038
CVE-2022-37603,0.01725,0.81746
CVE-2024-53261,0.00083,0.25308
CVE-2021-3794,0.0028,0.51111
CVE-2021-32796,0.00493,0.648
CVE-2025-25289,0.00302,0.53072
CVE-2025-24010,0.00017,0.02741
CVE-2024-35771,0.00312,0.53916
CVE-2020-1481,0.40495,0.97275
CVE-2017-16138,0.00433,0.6196
CVE-2024-51479,0.77366,0.98944
CVE-2025-27152,0.00028,0.06339
CVE-2025-32421,0.00034,0.08638
CVE-2018-3721,0.00221,0.44792
CVE-2020-26291,0.00581,0.67995
CVE-2018-19057,0.00223,0.4503
CVE-2022-23647,0.00068,0.21577
CVE-2025-30218,0.00031,0.07756
CVE-2023-4316,0.00144,0.35355
CVE-2020-4075,0.00264,0.49667
CVE-2020-36649,0.00079,0.24493
CVE-2021-32014,0.00212,0.43829
CVE-2020-8141,0.01037,0.76676
CVE-2018-14732,0.00371,0.58175
CVE-2023-5217,0.0184,0.8233
CVE-2022-40764,0.03171,0.86441
CVE-2023-25576,0.00306,0.53327
CVE-2021-23353,0.01346,0.79399
CVE-2024-56332,0.00675,0.70603
CVE-2022-36078,0.00554,0.6716
CVE-2025-7783,0.00025,0.05396
