cve,epss,ranking_epss
CVE-2025-58444,0.00029,0.06856
CVE-2022-32210,0.00107,0.29553
CVE-2022-29256,0.00257,0.49003
CVE-2020-15168,0.00073,0.22853
CVE-2025-54798,0.00036,0.09562
CVE-2023-3676,0.35687,0.96968
CVE-2018-6342,0.00794,0.73165
CVE-2025-43864,0.00041,0.11788
CVE-2023-28154,0.01485,0.80388
CVE-2024-12905,0.00776,0.72806
CVE-2025-43865,0.00043,0.12669
CVE-2022-3224,0.00324,0.54899
CVE-2024-53847,0.00257,0.48997
CVE-2022-25887,0.00056,0.17694
CVE-2023-37466,0.04732,0.88971
CVE-2025-32031,0.00108,0.298
CVE-2022-27261,0.00586,0.68183
CVE-2023-33976,0.00031,0.07688
CVE-2014-3744,0.5516,0.97994
CVE-2022-0613,0.00023,0.04791
CVE-2025-30208,0.83262,0.99229
CVE-2021-26541,0.12886,0.93823
CVE-2021-34083,0.00581,0.67994
CVE-2022-24785,0.00612,0.68927
CVE-2017-16082,0.71594,0.98691
CVE-2025-53892,0.00112,0.30585
CVE-2016-10547,0.0038,0.58796
CVE-2024-28176,0.00182,0.40299
CVE-2022-35954,0.00182,0.40245
CVE-2022-21227,0.00332,0.55512
CVE-2024-28246,0.00062,0.19741
CVE-2025-31486,0.00014,0.01637
CVE-2020-7789,0.0017,0.38784
CVE-2020-7597,0.00687,0.70895
CVE-2020-7608,0.0011,0.30167
CVE-2025-46328,3e-05,0.00109
CVE-2020-8158,0.00284,0.51454
CVE-2021-41580,0.00474,0.63923
CVE-2023-48219,0.01983,0.82941
CVE-2024-23684,0.01774,0.82025
CVE-2020-11022,0.22783,0.95701
CVE-2022-24304,,
CVE-2020-7788,0.00291,0.5217
CVE-2024-45811,0.00047,0.14265
CVE-2020-7774,0.00676,0.70636
CVE-2023-32695,0.00162,0.37817
CVE-2019-5413,0.02065,0.83284
CVE-2019-5417,0.00611,0.6891
CVE-2017-1000228,0.0718,0.91238
CVE-2025-30359,0.00042,0.1235
CVE-2023-45818,0.01282,0.78917
CVE-2015-8315,0.00944,0.75509
CVE-2024-47829,0.00028,0.06582
CVE-2025-53099,0.00064,0.20354
CVE-2022-46175,0.40495,0.97276
CVE-2022-23539,0.00058,0.18524
CVE-2022-2596,0.00275,0.50707
